Date,Price
02/01/2020,14750
03/01/2020,14375
06/01/2020,14583
07/01/2020,14542
08/01/2020,14417
09/01/2020,14542
10/01/2020,15000
13/01/2020,15000
14/01/2020,15000
15/01/2020,15000
16/01/2020,14625
17/01/2020,14833
20/01/2020,14833
21/01/2020,14583
22/01/2020,14542
30/01/2020,14958
31/01/2020,14875
03/02/2020,14750
04/02/2020,14625
05/02/2020,14333
06/02/2020,14750
07/02/2020,14583
10/02/2020,14542
11/02/2020,14625
12/02/2020,14542
13/02/2020,14500
14/02/2020,14417
17/02/2020,14458
18/02/2020,14500
19/02/2020,14417
20/02/2020,14333
21/02/2020,14417
24/02/2020,14333
25/02/2020,14333
26/02/2020,14375
27/02/2020,14417
28/02/2020,14333
02/03/2020,14750
03/03/2020,14583
04/03/2020,14583
05/03/2020,14417
06/03/2020,14333
09/03/2020,14167
10/03/2020,14125
11/03/2020,14000
12/03/2020,13917
13/03/2020,13667
16/03/2020,13333
17/03/2020,13417
18/03/2020,13625
19/03/2020,13042
20/03/2020,13292
23/03/2020,13333
24/03/2020,13333
25/03/2020,13333
26/03/2020,12833
27/03/2020,13083
30/03/2020,13083
31/03/2020,12208
01/04/2020,12667
03/04/2020,12667
06/04/2020,12917
07/04/2020,12917
08/04/2020,12667
09/04/2020,12667
10/04/2020,12625
13/04/2020,12667
14/04/2020,12625
15/04/2020,12625
16/04/2020,12625
17/04/2020,12667
20/04/2020,12667
21/04/2020,12625
22/04/2020,12833
23/04/2020,12750
24/04/2020,12750
27/04/2020,12583
28/04/2020,12625
29/04/2020,12500
04/05/2020,12542
05/05/2020,12500
06/05/2020,12500
07/05/2020,12583
08/05/2020,12708
11/05/2020,12833
12/05/2020,12708
13/05/2020,12708
14/05/2020,12792
15/05/2020,12917
18/05/2020,13125
19/05/2020,13542
20/05/2020,13583
21/05/2020,14500
22/05/2020,14083
25/05/2020,14083
26/05/2020,14083
27/05/2020,14333
28/05/2020,14083
29/05/2020,14417
01/06/2020,14542
02/06/2020,14667
03/06/2020,14708
04/06/2020,14708
05/06/2020,14750
08/06/2020,14792
09/06/2020,15083
10/06/2020,15083
11/06/2020,15000
12/06/2020,14917
15/06/2020,15167
16/06/2020,14917
17/06/2020,15083
18/06/2020,15083
19/06/2020,15208
22/06/2020,15167
23/06/2020,15000
24/06/2020,15000
25/06/2020,14792
26/06/2020,14792
29/06/2020,15000
30/06/2020,14833
01/07/2020,14792
02/07/2020,14750
03/07/2020,14875
06/07/2020,14833
07/07/2020,14833
08/07/2020,14708
09/07/2020,14708
10/07/2020,14667
13/07/2020,14500
14/07/2020,14167
15/07/2020,14417
16/07/2020,14667
17/07/2020,14542
20/07/2020,14458
21/07/2020,14417
22/07/2020,14458
23/07/2020,14417
24/07/2020,14000
27/07/2020,13667
28/07/2020,13750
29/07/2020,14708
30/07/2020,14250
31/07/2020,13792
03/08/2020,13833
04/08/2020,14042
05/08/2020,14167
06/08/2020,14125
07/08/2020,14083
10/08/2020,14042
11/08/2020,14167
12/08/2020,14083
13/08/2020,13917
14/08/2020,14167
17/08/2020,14167
18/08/2020,14042
19/08/2020,14042
20/08/2020,14125
21/08/2020,14125
24/08/2020,14125
25/08/2020,14125
26/08/2020,14125
27/08/2020,14125
28/08/2020,14542
31/08/2020,14375
01/09/2020,14333
03/09/2020,14333
04/09/2020,14208
07/09/2020,14083
08/09/2020,14250
09/09/2020,14000
10/09/2020,14000
11/09/2020,13917
14/09/2020,14250
15/09/2020,14083
16/09/2020,14125
17/09/2020,14167
18/09/2020,14167
21/09/2020,14208
22/09/2020,14208
23/09/2020,14250
24/09/2020,14292
25/09/2020,14250
28/09/2020,14333
29/09/2020,14167
30/09/2020,14167
01/10/2020,14167
02/10/2020,14167
05/10/2020,14458
06/10/2020,14625
07/10/2020,14542
08/10/2020,14292
09/10/2020,14292
12/10/2020,14333
13/10/2020,14500
14/10/2020,14500
15/10/2020,14667
16/10/2020,14458
19/10/2020,14333
20/10/2020,14583
21/10/2020,14375
22/10/2020,14583
23/10/2020,14583
26/10/2020,14417
27/10/2020,14417
28/10/2020,14417
29/10/2020,14375
30/10/2020,14333
02/11/2020,14333
03/11/2020,14417
04/11/2020,14375
05/11/2020,14333
06/11/2020,14417
09/11/2020,14417
10/11/2020,14417
11/11/2020,14375
12/11/2020,14417
13/11/2020,14333
16/11/2020,14292
17/11/2020,14417
18/11/2020,14333
19/11/2020,14292
20/11/2020,14375
23/11/2020,14292
24/11/2020,14292
25/11/2020,14375
26/11/2020,14375
27/11/2020,14250
30/11/2020,14333
01/12/2020,14292
02/12/2020,14333
03/12/2020,14333
04/12/2020,14208
07/12/2020,14333
08/12/2020,14208
09/12/2020,14250
10/12/2020,14333
11/12/2020,14250
14/12/2020,14333
15/12/2020,14292
16/12/2020,14292
17/12/2020,14208
18/12/2020,14333
21/12/2020,15333
22/12/2020,16375
23/12/2020,16250
24/12/2020,15833
25/12/2020,15917
28/12/2020,15667
29/12/2020,15667
30/12/2020,16750
31/12/2020,16042
04/01/2021,16250
05/01/2021,16250
06/01/2021,17083
07/01/2021,16750
08/01/2021,17000
11/01/2021,16833
12/01/2021,16833
13/01/2021,17917
14/01/2021,18000
15/01/2021,18333
18/01/2021,17875
19/01/2021,16833
20/01/2021,16833
21/01/2021,16667
22/01/2021,17083
25/01/2021,16667
26/01/2021,15667
27/01/2021,14750
28/01/2021,15083
29/01/2021,14042
01/02/2021,14583
02/02/2021,14583
03/02/2021,14917
04/02/2021,14833
05/02/2021,14917
08/02/2021,14792
09/02/2021,14833
17/02/2021,15000
18/02/2021,15417
19/02/2021,15417
22/02/2021,15250
23/02/2021,15250
24/02/2021,15167
25/02/2021,15083
26/02/2021,15083
01/03/2021,15375
02/03/2021,15667
03/03/2021,15625
04/03/2021,15500
05/03/2021,15417
08/03/2021,15375
