Date,Price
02/01/2020,5909
03/01/2020,5758
06/01/2020,5786
07/01/2020,5722
08/01/2020,5678
09/01/2020,5837
10/01/2020,5837
13/01/2020,5729
14/01/2020,5844
15/01/2020,6097
16/01/2020,6147
17/01/2020,6090
20/01/2020,5989
21/01/2020,6169
22/01/2020,6479
30/01/2020,6248
31/01/2020,5880
03/02/2020,5938
04/02/2020,5736
05/02/2020,5794
06/02/2020,5960
07/02/2020,5859
10/02/2020,5786
11/02/2020,5657
12/02/2020,5685
13/02/2020,5685
14/02/2020,5815
17/02/2020,5866
18/02/2020,5873
19/02/2020,5815
20/02/2020,6017
21/02/2020,5895
24/02/2020,5606
25/02/2020,5685
26/02/2020,5592
27/02/2020,5628
28/02/2020,5483
02/03/2020,5476
03/03/2020,5476
04/03/2020,5556
05/03/2020,5556
06/03/2020,5483
09/03/2020,5101
10/03/2020,5072
11/03/2020,4726
12/03/2020,4401
13/03/2020,4257
16/03/2020,4329
17/03/2020,4466
18/03/2020,4444
19/03/2020,4286
20/03/2020,4199
23/03/2020,3911
24/03/2020,3658
25/03/2020,3773
26/03/2020,3535
27/03/2020,3608
30/03/2020,3355
31/03/2020,3283
01/04/2020,3507
03/04/2020,3752
06/04/2020,4012
07/04/2020,4019
08/04/2020,4113
09/04/2020,4040
10/04/2020,4040
13/04/2020,4077
14/04/2020,4358
15/04/2020,4661
16/04/2020,4690
17/04/2020,4892
20/04/2020,4834
21/04/2020,4502
22/04/2020,4812
23/04/2020,5144
24/04/2020,5500
27/04/2020,5606
28/04/2020,5568
29/04/2020,5568
04/05/2020,5720
05/05/2020,5833
06/05/2020,6152
07/05/2020,6008
08/05/2020,5917
11/05/2020,5977
12/05/2020,6394
13/05/2020,6841
14/05/2020,6864
15/05/2020,6705
18/05/2020,7167
19/05/2020,7349
20/05/2020,7220
21/05/2020,7023
22/05/2020,7349
25/05/2020,7417
26/05/2020,7492
27/05/2020,7614
28/05/2020,7689
29/05/2020,7553
01/06/2020,7652
02/06/2020,7424
03/06/2020,7530
04/06/2020,7515
05/06/2020,8030
08/06/2020,8561
09/06/2020,8561
10/06/2020,8371
11/06/2020,7803
12/06/2020,8333
15/06/2020,8068
16/06/2020,8296
17/06/2020,8712
18/06/2020,8599
19/06/2020,9015
22/06/2020,9167
23/06/2020,9015
24/06/2020,8864
25/06/2020,9318
26/06/2020,9280
29/06/2020,8939
30/06/2020,8674
01/07/2020,9091
02/07/2020,8902
03/07/2020,8977
06/07/2020,9015
07/07/2020,8939
08/07/2020,8788
09/07/2020,8864
10/07/2020,8902
13/07/2020,8977
14/07/2020,8939
15/07/2020,8864
16/07/2020,8712
