Date,Price
02/01/2020,38134
03/01/2020,37580
06/01/2020,37385
07/01/2020,37678
08/01/2020,36765
09/01/2020,37319
10/01/2020,37515
13/01/2020,37319
14/01/2020,37124
15/01/2020,37157
16/01/2020,37613
17/01/2020,37841
20/01/2020,38656
21/01/2020,39112
22/01/2020,38851
30/01/2020,37157
31/01/2020,36114
03/02/2020,35462
04/02/2020,35168
05/02/2020,35201
06/02/2020,35690
07/02/2020,35429
10/02/2020,34484
11/02/2020,34712
12/02/2020,35527
13/02/2020,35201
14/02/2020,34908
17/02/2020,35038
18/02/2020,35494
19/02/2020,36016
20/02/2020,36048
21/02/2020,36048
24/02/2020,34614
25/02/2020,34875
26/02/2020,34614
27/02/2020,35331
28/02/2020,34712
02/03/2020,34712
03/03/2020,34679
04/03/2020,34549
05/03/2020,34386
06/03/2020,33604
09/03/2020,31257
10/03/2020,30605
11/03/2020,28487
12/03/2020,26498
13/03/2020,25749
16/03/2020,24771
17/03/2020,25195
18/03/2020,25684
19/03/2020,24641
20/03/2020,25162
23/03/2020,23402
24/03/2020,22424
25/03/2020,23793
26/03/2020,22164
27/03/2020,20632
30/03/2020,19393
31/03/2020,19198
01/04/2020,19947
03/04/2020,21316
06/04/2020,22783
07/04/2020,24315
08/04/2020,24119
09/04/2020,23793
10/04/2020,23369
13/04/2020,24445
14/04/2020,24380
15/04/2020,25032
16/04/2020,25064
17/04/2020,26727
20/04/2020,27476
21/04/2020,25879
22/04/2020,26727
23/04/2020,27216
24/04/2020,27053
27/04/2020,26792
28/04/2020,26368
29/04/2020,26629
04/05/2020,25879
05/05/2020,25847
06/05/2020,26466
07/05/2020,26922
08/05/2020,27313
11/05/2020,27704
12/05/2020,27150
13/05/2020,27346
14/05/2020,27053
15/05/2020,26759
18/05/2020,27867
19/05/2020,28421
20/05/2020,28193
21/05/2020,28356
22/05/2020,27704
25/05/2020,28063
26/05/2020,28193
27/05/2020,27639
28/05/2020,27607
29/05/2020,27574
01/06/2020,28030
02/06/2020,27802
03/06/2020,27835
04/06/2020,27867
05/06/2020,28063
08/06/2020,29367
09/06/2020,28910
10/06/2020,29139
11/06/2020,27118
12/06/2020,28030
15/06/2020,26890
16/06/2020,27509
17/06/2020,27313
18/06/2020,27313
19/06/2020,27541
