Date,Price
02/01/2020,10023
03/01/2020,9941
06/01/2020,9914
07/01/2020,9941
08/01/2020,9669
09/01/2020,9778
10/01/2020,9969
13/01/2020,9969
14/01/2020,10023
15/01/2020,10023
16/01/2020,10404
17/01/2020,10486
20/01/2020,10486
21/01/2020,10486
22/01/2020,10513
30/01/2020,10078
31/01/2020,9642
03/02/2020,9288
04/02/2020,9260
05/02/2020,9233
06/02/2020,9642
07/02/2020,9642
10/02/2020,9560
11/02/2020,9506
12/02/2020,9696
13/02/2020,9587
14/02/2020,9696
17/02/2020,9615
18/02/2020,9560
19/02/2020,9587
20/02/2020,9587
21/02/2020,9506
24/02/2020,8852
25/02/2020,8934
26/02/2020,8770
27/02/2020,8988
28/02/2020,8661
02/03/2020,8607
03/03/2020,8689
04/03/2020,8852
05/03/2020,9152
06/03/2020,9097
09/03/2020,8471
10/03/2020,8471
11/03/2020,7899
12/03/2020,7381
13/03/2020,7245
16/03/2020,7245
17/03/2020,7735
18/03/2020,7463
19/03/2020,7463
20/03/2020,7545
23/03/2020,7027
24/03/2020,6809
25/03/2020,7272
26/03/2020,7054
27/03/2020,6727
30/03/2020,6264
31/03/2020,6319
01/04/2020,6755
03/04/2020,7218
06/04/2020,7708
07/04/2020,7708
08/04/2020,7817
09/04/2020,8341
10/04/2020,8404
13/04/2020,8309
14/04/2020,8341
15/04/2020,8436
16/04/2020,8436
17/04/2020,8594
20/04/2020,8657
21/04/2020,8120
22/04/2020,8404
23/04/2020,8404
24/04/2020,8373
27/04/2020,8278
28/04/2020,8183
29/04/2020,8215
04/05/2020,8025
05/05/2020,7993
06/05/2020,8183
07/05/2020,8341
08/05/2020,8531
11/05/2020,8941
12/05/2020,8973
13/05/2020,8878
14/05/2020,9004
15/05/2020,8815
18/05/2020,8941
19/05/2020,9036
20/05/2020,9036
21/05/2020,9068
22/05/2020,9036
25/05/2020,9194
26/05/2020,8618
27/05/2020,8366
28/05/2020,8338
29/05/2020,8310
01/06/2020,8534
02/06/2020,8450
03/06/2020,8534
04/06/2020,8815
05/06/2020,8815
08/06/2020,9011
09/06/2020,8899
10/06/2020,8983
11/06/2020,8366
12/06/2020,8703
15/06/2020,8113
16/06/2020,8534
17/06/2020,8422
18/06/2020,8422
19/06/2020,8590
22/06/2020,8534
23/06/2020,9039
24/06/2020,8843
25/06/2020,8871
26/06/2020,8703
29/06/2020,8310
30/06/2020,8310
01/07/2020,8590
02/07/2020,8506
03/07/2020,8506
06/07/2020,8759
07/07/2020,8731
08/07/2020,8815
09/07/2020,8899
10/07/2020,8955
13/07/2020,8955
14/07/2020,9376
15/07/2020,9292
16/07/2020,9320
17/07/2020,9376
20/07/2020,9227
21/07/2020,9108
22/07/2020,8988
23/07/2020,8899
24/07/2020,8540
27/07/2020,7943
28/07/2020,8480
29/07/2020,8092
30/07/2020,8212
31/07/2020,8092
03/08/2020,8421
04/08/2020,8570
05/08/2020,8660
06/08/2020,8570
07/08/2020,8510
10/08/2020,8600
11/08/2020,8779
12/08/2020,8749
13/08/2020,8869
14/08/2020,8719
17/08/2020,8660
18/08/2020,8600
19/08/2020,8690
20/08/2020,8570
21/08/2020,8779
24/08/2020,8958
25/08/2020,8958
26/08/2020,8988
27/08/2020,9018
28/08/2020,9018
31/08/2020,8899
01/09/2020,9018
03/09/2020,9108
04/09/2020,9197
07/09/2020,9167
08/09/2020,9436
09/09/2020,9466
10/09/2020,9466
11/09/2020,9406
14/09/2020,9406
15/09/2020,9436
16/09/2020,9496
17/09/2020,9555
18/09/2020,9735
21/09/2020,9854
22/09/2020,9884
23/09/2020,9974
24/09/2020,9884
25/09/2020,9824
28/09/2020,10093
29/09/2020,10003
30/09/2020,10123
01/10/2020,10630
02/10/2020,10601
05/10/2020,10899
06/10/2020,10839
07/10/2020,10660
08/10/2020,10660
09/10/2020,10750
12/10/2020,10660
13/10/2020,10481
14/10/2020,10810
15/10/2020,10839
16/10/2020,10839
19/10/2020,10959
20/10/2020,10869
21/10/2020,10571
22/10/2020,10750
23/10/2020,10690
26/10/2020,10511
27/10/2020,10272
28/10/2020,9974
29/10/2020,10212
30/10/2020,10212
02/11/2020,10242
03/11/2020,10362
04/11/2020,10451
05/11/2020,10302
06/11/2020,10242
09/11/2020,10451
10/11/2020,10571
11/11/2020,10451
12/11/2020,10451
13/11/2020,10630
16/11/2020,10571
17/11/2020,10899
18/11/2020,10989
19/11/2020,11019
20/11/2020,10869
23/11/2020,11168
24/11/2020,11317
25/11/2020,11467
26/11/2020,11437
27/11/2020,11556
30/11/2020,11496
